time,type,spot_price,perp_price,funding_rate,allocated_capital,current_capital,reason,fees,trade_pnl_before_fees,trade_pnl_after_fees,cumulative_pnl_after_fees
3031,exit,18.024,18.01,-4.7096e-06,95583.85200370321,107252.17283793425,Funding rate < Threshold,52.57111860203677,17.07886532571049,-145.41368308058497,7252.17283793426
3033,entry,17.835,17.838,1.25e-05,95454.43382576149,107252.17283793425,Entry: Perp > Spot & Funding Rate > Threshold,109.7725988996257,0.0,0.0,7252.17283793426
3042,exit,17.326,17.316,-3.21698e-05,95454.43382576149,107099.97225137913,Funding rate < Threshold,52.49993860416882,10.071950948672283,-152.20058655512224,7099.9722513791385
3047,entry,17.351,17.356,1.25e-05,95318.97530372743,107099.97225137913,Entry: Perp > Spot & Funding Rate > Threshold,109.61682159928655,0.0,0.0,7099.9722513791385
3053,exit,18.081,18.079,-1.42365e-05,95318.97530372743,106948.36741162666,Funding rate < Threshold,52.42543641705009,10.437418263860625,-151.604839752476,6948.367411626662
3056,entry,18.297,18.303,1.25e-05,95184.04699634774,106948.36741162666,Entry: Perp > Spot & Funding Rate > Threshold,109.46165404579989,0.0,0.0,6948.367411626662
3059,exit,17.952,17.944,-2.3353e-05,95184.04699634774,106790.12393349524,Funding rate < Threshold,52.35122584799126,3.5694017623630403,-158.2434781314281,6790.123933495234
3066,entry,17.513,17.521,1.25e-05,95043.21030081077,106790.12393349524,Entry: Perp > Spot & Funding Rate > Threshold,109.29969184593237,0.0,0.0,6790.123933495234
3088,exit,18.559,18.555,-2.8805e-06,95043.21030081077,106658.42085570794,Funding rate < Threshold,52.27376566544592,29.870379724080447,-131.70307778729787,6658.420855707936
3089,entry,18.557,18.56,1.25e-05,94925.99456158007,106658.42085570794,Entry: Perp > Spot & Funding Rate > Threshold,109.16489374581708,0.0,0.0,6658.420855707936
3101,exit,19.161,19.15,-1.86478e-05,94925.99456158007,106515.0117796354,Funding rate < Threshold,52.209297008869044,17.96511468215782,-143.4090760725283,6515.011779635408
3105,entry,19.068,19.08,1.25e-05,94798.36048387551,106515.0117796354,Entry: Perp > Spot & Funding Rate > Threshold,109.01811455645684,0.0,0.0,6515.011779635408
3121,exit,18.112,18.096,-1.5967e-05,94798.36048387551,106376.24385399518,Funding rate < Threshold,52.13909826613153,22.389287182360754,-138.76792564022762,6376.24385399518
3122,entry,18.47,18.481,1.25e-05,94674.85703005572,106376.24385399518,Entry: Perp > Spot & Funding Rate > Threshold,108.87608558456408,0.0,0.0,6376.24385399518
3125,exit,18.128,18.12,-9.813e-07,94674.85703005572,106218.84690418272,Funding rate < Threshold,52.07117136653065,3.5503071386270895,-157.39694981246765,6218.846904182712
3130,entry,18.188,18.193,1.25e-05,94534.77374472262,106218.84690418272,Entry: Perp > Spot & Funding Rate > Threshold,108.71498980643102,0.0,0.0,6218.846904182712
3134,exit,17.986,17.974,-1.03465e-05,94534.77374472262,106062.78430529492,Funding rate < Threshold,51.99412555959745,4.646516478236359,-156.06259888779212,6062.78430529492
3136,entry,18.212,18.216,1.25e-05,94395.87803171248,106062.78430529492,Entry: Perp > Spot & Funding Rate > Threshold,108.55525973646935,0.0,0.0,6062.78430529492
3154,exit,18.911,18.909,-2.04808e-05,94395.87803171248,105934.7438767339,Funding rate < Threshold,51.91773291744187,32.432564092899185,-128.04042856101202,5934.743876733908
3156,entry,19.041,19.048,1.25e-05,94281.92205029317,105934.7438767339,Entry: Perp > Spot & Funding Rate > Threshold,108.42421035783714,0.0,0.0,5934.743876733908
3163,exit,18.36,18.348,-2.0482e-06,94281.92205029317,105782.7142774278,Funding rate < Threshold,51.85505712766125,8.249668179400652,-152.02959930609774,5782.71427742781
3164,entry,18.301,18.306,1.25e-05,94146.61570691074,105782.7142774278,Entry: Perp > Spot & Funding Rate > Threshold,108.26860806294735,0.0,0.0,5782.71427742781
3239,exit,18.029,18.03,-7.0328e-06,94146.61570691074,105758.80616802881,Funding rate < Threshold,51.78063863880091,136.141137302749,-23.908109398999244,5758.806168028811
3240,entry,18.674,18.683,1.25e-05,94125.33748954564,105758.80616802881,Entry: Perp > Spot & Funding Rate > Threshold,108.24413811297748,0.0,0.0,5758.806168028811
3278,exit,17.828,17.824,-9.5336e-06,94125.33748954564,105648.3480137274,Funding rate < Threshold,51.7689356192501,49.554919430821,-110.45815430140658,5648.348013727405
3281,entry,18.503,18.521,1.25e-05,94027.02973221739,105648.3480137274,Entry: Perp > Spot & Funding Rate > Threshold,108.13108419205,0.0,0.0,5648.348013727405
3290,exit,19.406,19.373,-1.31559e-05,94027.02973221739,105530.62650159727,Funding rate < Threshold,51.71486635271957,42.12443841463745,-117.7215121301321,5530.626501597272
3301,entry,20.699,20.713,1.25e-05,93922.25758642158,105530.62650159727,Entry: Perp > Spot & Funding Rate > Threshold,108.01059622438481,0.0,0.0,5530.626501597272
3303,exit,20.439,20.423,-0.0001032793,93922.25758642158,105373.30672014001,Funding rate < Threshold,51.65724167253187,2.3480564396605397,-157.31978145725614,5373.306720140016
3306,entry,20.119,20.128,1.25e-05,93782.24298092461,105373.30672014001,Entry: Perp > Spot & Funding Rate > Threshold,107.8495794280633,0.0,0.0,5373.306720140016
3319,exit,20.066,20.047,-2.75597e-05,93782.24298092461,105229.11652155685,Funding rate < Threshold,51.58023363950854,15.239614484400251,-144.1901985831716,5229.116521556844
3336,entry,20.81,20.813,1.25e-05,93653.9137041856,105229.11652155685,Entry: Perp > Spot & Funding Rate > Threshold,107.70200075981344,0.0,0.0,5229.116521556844
3339,exit,20.682,20.671,-1.5414e-06,93653.9137041856,105073.41689002364,Funding rate < Threshold,51.50965253730208,3.51202176390696,-155.69963153320856,5073.4168900236355
3344,entry,20.574,20.578,1.25e-05,93515.34103212104,105073.41689002364,Entry: Perp > Spot & Funding Rate > Threshold,107.54264218693919,0.0,0.0,5073.4168900236355
3369,exit,20.507,20.496,-9.9522e-06,93515.34103212104,104962.76735960698,Funding rate < Threshold,51.43343756766657,48.326549337954106,-110.64953041665166,4962.7673596069835
3371,entry,20.686,20.694,1.25e-05,93416.86295005021,104962.76735960698,Entry: Perp > Spot & Funding Rate > Threshold,107.42939239255774,0.0,0.0,4962.7673596069835
3459,exit,21.216,21.208,-1.41353e-05,93416.86295005021,104953.51322359593,Funding rate < Threshold,51.37927462252762,149.55453100403713,-9.254136011048217,4953.513223595935
3468,entry,21.552,21.555,1.25e-05,93408.62676900039,104953.51322359593,Entry: Perp > Spot & Funding Rate > Threshold,107.41992078435044,0.0,0.0,4953.513223595935
3485,exit,23.954,24.004,0.0001257416,93408.62676900039,104884.08558973546,Stop-loss,51.37474472295022,89.36703164682197,-69.4276338604787,4884.085589735457
3486,entry,24.305,24.328,0.0002089378,93346.83617486457,104884.08558973546,Entry: Perp > Spot & Funding Rate > Threshold,107.34886160109426,0.0,0.0,4884.085589735457
3651,exit,26.95,26.999,1.25e-05,93346.83617486457,105442.090694499,Stop-loss,51.34075989617551,716.6947262608153,558.0051047635455,5442.090694499002
3656,entry,26.706,26.715,1.25e-05,93843.4607181041,105442.090694499,Entry: Perp > Spot & Funding Rate > Threshold,107.91997982581972,0.0,0.0,5442.090694499002
3665,exit,27.846,27.83,-6.9658e-06,93843.4607181041,105292.77987389585,Funding rate < Threshold,51.61390339495726,10.223062617632396,-149.3108206031446,5292.779873895857
3667,entry,27.854,27.89,1.25e-05,93710.57408776731,105292.77987389585,Entry: Perp > Spot & Funding Rate > Threshold,107.76716020093241,0.0,0.0,5292.779873895857
3800,exit,31.235,31.268,8.01044e-05,93710.57408776731,105485.44849560436,Stop-loss,51.540815748272024,351.97659765770214,192.6686217084977,5485.448495604355
3801,entry,31.604,31.647,1.25e-05,93882.04916108788,105485.44849560436,Entry: Perp > Spot & Funding Rate > Threshold,107.96435653525106,0.0,0.0,5485.448495604355
3819,exit,35.355,35.411,0.0003343843,93882.04916108788,105547.14361933824,Stop-loss,51.63512703859834,221.29460730773854,61.69512373388915,5547.143619338244
3820,entry,35.557,35.621,0.0002362184,93936.95782121104,105547.14361933824,Entry: Perp > Spot & Funding Rate > Threshold,108.0275014943927,0.0,0.0,5547.143619338244
3890,exit,39.486,39.544,9.15887e-05,93936.95782121104,105800.2291441156,Stop-loss,51.665326801666076,412.7783530734082,253.08552477734943,5800.229144115594
3891,entry,38.829,38.883,4.06014e-05,94162.20393826289,105800.2291441156,Entry: Perp > Spot & Funding Rate > Threshold,108.28653452900232,0.0,0.0,5800.229144115594
4286,exit,42.882,42.909,3.38759e-05,94162.20393826289,106975.55678307619,Stop-loss,51.78921216604459,1335.4033856556355,1175.3276389605885,6975.556783076183
4287,entry,43.526,43.545,2.00618e-05,95208.2455369378,106975.55678307619,Entry: Perp > Spot & Funding Rate > Threshold,109.48948236747847,0.0,0.0,6975.556783076183
